iter	Logloss
0	0.6684759626
1	0.6497902614
2	0.6331360093
3	0.6182103474
4	0.6029843945
5	0.5905331098
6	0.577825469
7	0.567874758
8	0.5579169888
9	0.5504741831
10	0.543288792
11	0.5366733092
12	0.5311720302
13	0.525575588
14	0.5203182463
15	0.5151067494
16	0.5107096304
17	0.506468016
18	0.5024372003
19	0.4986434415
20	0.4949121149
21	0.4919166542
22	0.489022469
23	0.4858635177
24	0.4833076367
25	0.4807277655
26	0.4777631573
27	0.4755806661
28	0.4734538394
29	0.471337772
30	0.4696716426
31	0.4675477852
32	0.4658695958
33	0.4644920119
34	0.46244795
35	0.4610248001
36	0.4594717883
37	0.458268556
38	0.4566086403
39	0.4549897985
40	0.4531252612
41	0.4519105459
42	0.4498870396
43	0.448644042
44	0.4471771947
45	0.4461294525
46	0.445065903
47	0.4437283995
48	0.442625726
49	0.4414564246
50	0.4404589857
51	0.4394749853
52	0.438286299
53	0.4372911482
54	0.4364986569
55	0.4351480224
56	0.434353417
57	0.4333475168
58	0.4323667575
59	0.4315464941
60	0.4307295533
61	0.4298484418
62	0.4292135536
63	0.4280605954
64	0.4272641712
65	0.4264408789
66	0.4256869259
67	0.4249499426
68	0.4240340296
69	0.4232056419
70	0.4224526705
71	0.4217458401
72	0.4210411053
73	0.4204237055
74	0.4198393135
75	0.4189800198
76	0.4181816689
77	0.4176872439
78	0.417070365
79	0.4164405193
80	0.4160792199
81	0.4156727711
82	0.4152059488
83	0.414642584
84	0.4139747264
85	0.413191591
86	0.4127468307
87	0.4123914208
88	0.4119214186
89	0.4111924879
90	0.4107528165
91	0.4102322531
92	0.4097429321
93	0.4092664594
94	0.4088542615
95	0.4082632033
96	0.4076745434
97	0.4071042724
98	0.4066649837
99	0.4064050186
100	0.4059972755
101	0.4055956991
102	0.405060516
103	0.4045422491
104	0.4036989516
105	0.4032059253
106	0.4028463795
107	0.401915473
108	0.4015278274
109	0.4011913889
110	0.4007033125
111	0.4002326774
112	0.3998375699
113	0.3991488214
114	0.3986167706
115	0.3982827835
116	0.3979201071
117	0.3973409369
118	0.396859612
119	0.3965081188
120	0.3961989052
121	0.3957671178
122	0.3953266339
123	0.3949874914
124	0.3947456637
125	0.3943283944
126	0.3940104416
127	0.3937690573
128	0.3934209702
129	0.3931009516
130	0.3928992745
131	0.3923678942
132	0.3920308106
133	0.3917689036
134	0.3914748767
135	0.3910651455
136	0.390616855
137	0.3903795787
138	0.3900333467
139	0.3898025279
140	0.38959154
141	0.3894221155
142	0.3891781067
143	0.38887623
144	0.3886790947
145	0.3883336688
146	0.3879582303
147	0.3874995847
148	0.3873356012
149	0.3868651
150	0.3866831765
151	0.3863285002
152	0.3861502504
153	0.3858462429
154	0.3856166744
155	0.3853941592
156	0.3852329258
157	0.3848829681
158	0.3842195192
159	0.3840817901
160	0.383912404
161	0.3835171852
162	0.3831869446
163	0.382840468
164	0.3825764548
165	0.3823312901
166	0.3818541801
167	0.3814685375
168	0.3812183072
169	0.3809833678
170	0.3808365526
171	0.3805630516
172	0.3804654174
173	0.3802990928
174	0.3800588719
175	0.3798049966
176	0.3794862537
177	0.3792466469
178	0.3789946552
179	0.3788424286
180	0.3786023737
181	0.3784380133
182	0.378111459
183	0.3779030485
184	0.3775897924
185	0.3772310947
186	0.3770360025
187	0.3768610805
188	0.3766538693
189	0.3762685569
190	0.3759930253
191	0.3758344643
192	0.3756559323
193	0.3754147399
194	0.3752247063
195	0.3750476692
196	0.3749361694
197	0.3746988503
198	0.3744578061
199	0.3741934027
200	0.3739504478
201	0.373529895
202	0.3732604329
203	0.3730372292
204	0.3728563868
205	0.3725940486
206	0.3723870185
207	0.3721709174
208	0.3720524829
209	0.3717623394
210	0.3713209595
211	0.3710186073
212	0.3707756907
213	0.3705904237
214	0.3704703566
215	0.3700254542
216	0.3697510195
217	0.3694941908
218	0.3692998377
219	0.3690775737
220	0.3688375282
221	0.3681897349
222	0.3680049205
223	0.3678465177
224	0.3676075704
225	0.3675149034
226	0.3673194643
227	0.3671331294
228	0.3668714353
229	0.3665793331
230	0.3662545558
231	0.3661765038
232	0.3655411177
233	0.3650448972
234	0.3646140395
235	0.3643914629
236	0.3642780834
237	0.3640801032
238	0.3639794402
239	0.3636848341
240	0.3635609803
241	0.3631714653
242	0.3628251674
243	0.3625537281
244	0.3623086559
245	0.3618223569
246	0.3612988352
247	0.3610875702
248	0.3606919568
249	0.3605638744
250	0.360222597
251	0.359992321
252	0.3597776833
253	0.3595339883
254	0.3591130148
255	0.3588629656
256	0.3587124313
257	0.3583878622
258	0.3580667096
259	0.3576667282
260	0.3574756815
261	0.357294375
262	0.3568569077
263	0.3566930794
264	0.3563683488
265	0.3562414544
266	0.3560006731
267	0.3555557596
268	0.3552885362
269	0.3549730186
270	0.3546597784
271	0.3542930651
272	0.3540746602
273	0.3538042494
274	0.353584776
275	0.3532622057
276	0.3530351701
277	0.3524594539
278	0.3522245933
279	0.351900521
280	0.3516560932
281	0.3514348102
282	0.3510369356
283	0.3506998499
284	0.3504647679
285	0.3502811449
286	0.3499879519
287	0.3495131184
288	0.3491941884
289	0.3489803264
290	0.3485894933
291	0.3483557402
292	0.3479923783
293	0.3477847903
294	0.3473071917
295	0.3469653396
296	0.3466649434
297	0.3463524844
298	0.3459393098
299	0.3456921537
300	0.3452346217
301	0.3447935521
302	0.3445788446
303	0.3442594319
304	0.3439998907
305	0.3436384754
306	0.3433642135
307	0.343161978
308	0.3427991439
309	0.3424074053
310	0.3420774771
311	0.3417788113
312	0.3414145566
313	0.3411773865
314	0.3407793286
315	0.3405770965
316	0.3402142189
317	0.3398113452
318	0.339585787
319	0.3392190443
320	0.3388388061
321	0.3385068228
322	0.3381594503
323	0.3377958011
324	0.3375341158
325	0.3372805497
326	0.3369472114
327	0.3367140657
328	0.3364579718
329	0.336116193
330	0.3358865595
331	0.3355305248
332	0.3352923842
333	0.3350356798
334	0.3346241266
335	0.3343429034
336	0.3341516588
337	0.3336197827
338	0.3333851601
339	0.3330329615
340	0.3328280515
341	0.332602918
342	0.3324352514
343	0.3322266935
344	0.3319562049
345	0.3317096472
346	0.3315165305
347	0.3311940826
348	0.3308482845
349	0.3306305074
350	0.3303952778
351	0.3301344137
352	0.3299291283
353	0.3296319291
354	0.3294192768
355	0.3291069233
356	0.3288048889
357	0.3285049643
358	0.3283070835
359	0.3279783023
360	0.3278094187
361	0.3275460024
362	0.3273804151
363	0.3271801268
364	0.3269836908
365	0.3267661142
366	0.3263872907
367	0.3260893359
368	0.3258938187
369	0.3256054865
370	0.325365762
371	0.3251974487
372	0.3248667333
373	0.3246321321
374	0.3244106466
375	0.3241747942
376	0.323835682
