iter	Passed	Remaining
0	180	108006
1	364	109089
2	562	111973
3	745	111096
4	935	111349
5	1106	109572
6	1301	110220
7	1515	112119
8	1733	113865
9	1919	113259
10	2106	112769
11	2308	113101
12	2520	113805
13	2754	115299
14	2931	114331
15	3150	114993
16	3348	114831
17	3595	116252
18	3791	115938
19	3995	115878
20	4188	115470
21	4384	115198
22	4589	115139
23	4801	115236
24	5020	115472
25	5240	115697
26	5422	115077
27	5630	115025
28	5856	115305
29	6048	114913
30	6243	114592
31	6442	114350
32	6639	114079
33	6845	113962
34	7070	114136
35	7289	114201
36	7480	113821
37	7659	113282
38	7866	113150
39	8050	112709
40	8244	112406
41	8412	111764
42	8640	111931
43	8843	111749
44	9041	111511
45	9267	111607
46	9434	111000
47	9638	110837
48	9821	110441
49	9985	109836
50	10174	109525
51	10389	109487
52	10572	109115
53	10798	109180
54	10963	108639
55	11146	108277
56	11373	108343
57	11539	107831
58	11736	107620
59	11947	107531
60	12147	107332
61	12340	107087
62	12533	106835
63	12740	106699
64	12944	106546
65	13139	106306
66	13342	106139
67	13567	106145
68	13787	106105
69	13987	105903
70	14214	105911
71	14385	105493
72	14599	105398
73	14794	105160
74	14961	104733
75	15150	104456
76	15345	104231
77	15524	103891
78	15697	103525
79	15892	103301
80	16051	102850
81	16243	102608
82	16444	102428
83	16641	102228
84	16835	102003
85	17032	101797
86	17212	101491
87	17394	101205
88	17574	100902
89	17786	100789
90	17942	100358
91	18119	100052
92	18309	99816
93	18484	99501
94	18688	99343
95	18896	99205
96	19073	98905
97	19271	98715
98	19439	98377
99	19578	97894
100	19765	97653
101	19937	97343
102	20151	97235
103	20307	96852
104	20493	96609
105	20686	96407
106	20864	96131
107	21090	96080
108	21255	95747
109	21429	95460
110	21622	95257
111	21825	95096
112	22034	94960
113	22235	94793
114	22475	94786
115	22650	94506
116	22876	94439
117	23077	94266
118	23281	94104
119	23463	93854
120	23639	93580
121	23819	93324
122	24007	93101
123	24199	92895
124	24354	92546
125	24524	92259
126	24704	92010
127	24874	91724
128	25070	91536
129	25234	91233
130	25425	91026
131	25628	90864
132	25803	90601
133	25983	90361
134	26185	90193
135	26360	89934
136	26568	89788
137	26732	89495
138	26908	89243
139	27088	89004
140	27250	88710
141	27427	88464
142	27588	88167
143	27764	87921
144	27928	87638
145	28098	87373
146	28292	87187
147	28520	87103
148	28675	86795
149	28881	86645
150	29070	86440
151	29252	86216
152	29419	85952
153	29569	85637
154	29742	85390
155	29910	85131
156	30073	84857
157	30257	84643
158	30463	84492
159	30620	84207
160	30804	83996
161	30988	83783
162	31192	83627
163	31382	83430
164	31555	83192
165	31749	83009
166	31942	82820
167	32114	82581
168	32281	82326
169	32455	82094
170	32591	81764
171	32783	81577
172	32934	81290
173	33092	81019
174	33263	80783
175	33424	80523
176	33635	80382
177	33827	80198
178	33998	79963
179	34177	79748
180	34344	79505
181	34508	79256
182	34681	79027
183	34866	78828
184	35045	78615
185	35268	78500
186	35430	78249
187	35596	78008
188	35764	77773
189	35969	77618
190	36170	77454
191	36326	77193
192	36506	76984
193	36670	76743
194	36824	76482
195	36998	76263
196	37152	76001
197	37321	75774
198	37491	75548
199	37695	75391
200	37880	75194
201	38071	75011
202	38258	74820
203	38462	74662
204	38642	74458
205	38846	74299
206	39019	74080
207	39193	73864
208	39348	73613
209	39518	73391
210	39686	73165
211	39876	72982
212	40040	72749
213	40211	72530
214	40370	72292
215	40583	72149
216	40736	71899
217	40909	71686
218	41098	71499
219	41282	71306
220	41449	71083
221	41669	70950
222	41830	70718
223	42001	70502
224	42186	70310
225	42327	70045
226	42495	69828
227	42685	69644
228	42863	69442
229	43051	69256
230	43236	69066
231	43387	68822
232	43592	68662
233	43779	68475
234	43992	68329
235	44194	68164
236	44358	67941
237	44514	67707
238	44675	67480
239	44883	67324
240	45060	67122
241	45254	66947
242	45473	66806
243	45651	66605
244	45835	66414
245	46044	66259
246	46257	66108
247	46444	65920
248	46641	65747
249	46835	65569
250	47036	65401
251	47221	65210
252	47406	65020
253	47582	64817
254	47773	64635
255	47945	64427
256	48109	64208
257	48321	64054
258	48520	63881
259	48735	63731
260	48901	63515
261	49058	63289
262	49249	63106
263	49413	62890
264	49612	62717
265	49787	62515
266	49946	62292
267	50175	62157
268	50364	61972
269	50542	61774
270	50723	61579
271	50925	61409
272	51108	61218
273	51309	61047
274	51462	60819
275	51643	60624
276	51823	60430
277	52024	60259
278	52198	60056
279	52378	59860
280	52574	59684
281	52745	59479
282	52953	59315
283	53137	59125
284	53303	58914
285	53496	58733
286	53754	58624
287	53952	58448
288	54173	58297
